"","borough","neighborhood","building_class_category","tax_class_at_present","block","lot","building_class_at_present","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","bbl","buildingIdentificationNumber","cooperativeIdNumber","gi5DigitStreetCode1","giHighHouseNumber1","giLowHouseNumber1","giStreetName1","lat","lng"
"255",2,"MOUNT HOPE/MOUNT EDEN","03  THREE FAMILY HOMES","1",2786,14,"C0","276 East 171 Street",NA,10457,3,0,3,"1060",3196,2007,"1","C0",650000,2011-06-06,2027860014,"2118460","0000","26790","276","274","EAST  171 STREET",40.8388125641309,-73.9106263345117
"256",2,"MOUNT HOPE/MOUNT EDEN","03  THREE FAMILY HOMES","1",2787,57,"C0","1503 Teller Avenue",NA,10457,3,0,3,"2548",3082,1920,"1","C0",470000,2011-08-12,2027870057,"2007311","0000","67820","1503","1503","TELLER AVENUE",40.8401894600401,-73.90941016271
"257",2,"MOUNT HOPE/MOUNT EDEN","03  THREE FAMILY HOMES","1",2790,38,"C0","1696 Topping Avenue",NA,10457,3,0,3,"2375",2448,1901,"1","C0",460000,2011-07-01,2027900038,"2007318","0000","69220","1696","1696","TOPPING AVENUE",40.8441634314627,-73.9055302538723
"258",2,"MOUNT HOPE/MOUNT EDEN","03  THREE FAMILY HOMES","1",2790,38,"C0","1696 Topping Avenue",NA,10457,3,0,3,"2375",2448,1901,"1","C0",170000,2011-03-01,2027900038,"2007318","0000","69220","1696","1696","TOPPING AVENUE",40.8441634314627,-73.9055302538723
"259",2,"MOUNT HOPE/MOUNT EDEN","03  THREE FAMILY HOMES","1",2791,22,"C0","1653 Topping Avenue",NA,10457,3,0,3,"1900",2940,1899,"1","C0",250000,2011-12-23,2027910022,"2007339","0000","69220","1653","1653","TOPPING AVENUE",40.8431292113778,-73.906185895224
"260",2,"MOUNT HOPE/MOUNT EDEN","03  THREE FAMILY HOMES","1",2800,42,"C0","1825 Topping Avenue",NA,10457,3,0,3,"1767",2794,1899,"1","C0",220000,2011-04-22,2028000042,"2007520","0000","69220","1825","1825","TOPPING AVENUE",40.8472953669613,-73.9058041177922
"261",2,"MOUNT HOPE/MOUNT EDEN","03  THREE FAMILY HOMES","1",2803,44,"C0","313 East 176th Street",NA,10457,3,0,3,"3104",4480,1899,"1","C0",350000,2011-12-13,2028030044,"2007590","0000","26940","313","313","EAST  176 STREET",40.8477377422425,-73.9030673420955
"262",2,"MOUNT HOPE/MOUNT EDEN","07  RENTALS - WALKUP APARTMENTS","2",2790,57,"C7","347 East 173 St.",NA,10457,21,1,22,"4613",17000,1912,"2","C7",1580000,2011-06-28,2027900057,"2007331","0000","20020","1667","1667","CLAY AVENUE",40.8436306382676,-73.9051406724919
"263",2,"MOUNT HOPE/MOUNT EDEN","07  RENTALS - WALKUP APARTMENTS","2",2796,42,"C1","1767 Weeks Avenue",NA,10457,35,0,35,"7125",28000,1925,"2","C1",2160000,2011-03-01,2027960042,"2007430","0000","73820","1767","1767","WEEKS AVENUE",40.8458861575965,-73.9077470263887
"264",2,"MOUNT HOPE/MOUNT EDEN","07  RENTALS - WALKUP APARTMENTS","2A",2798,11,"C2","1748 Monroe Avenue",NA,10457,6,0,6,"2850",5100,1925,"2","C2",350000,2011-02-01,2027980011,"2007461","0000","51620","1748","1748","MONROE AVENUE",40.8454321336537,-73.9063236066272
